epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.90407,2.01147,10.6159,1.19481,0,0,0,0,2.39576,15.14,1.64662,2e-05,2e-05,2e-05
2,1.66291,2.08603,9.50813,1.21583,0,0,0,0,2.39616,15.6874,1.64906,5.9703e-05,5.9703e-05,5.9703e-05
3,2.27586,1.98688,13.0516,1.24003,0,0,0,0,2.38773,15.5292,1.64747,9.901e-05,9.901e-05,9.901e-05
4,2.89416,2.20503,12.6466,1.31306,0,0,0,0,2.37185,15.3448,1.65739,0.000137921,0.000137921,0.000137921
5,3.54333,2.07407,11.6258,1.13762,0.38793,0.66667,0.566,0.25129,2.20979,6.36447,1.64711,0.000176436,0.000176436,0.000176436
6,4.31286,1.71397,5.34295,1.13262,0.58575,1,0.863,0.46151,1.77035,7.93421,1.27722,0.000214555,0.000214555,0.000214555
7,5.08181,1.40828,4.06718,0.97178,0.96657,1,0.995,0.60872,1.34021,7.65342,1.06636,0.000252278,0.000252278,0.000252278
8,5.82934,1.44065,3.50259,1.03386,0.97897,1,0.995,0.61944,1.28356,6.68173,0.99986,0.000289605,0.000289605,0.000289605
9,6.57836,1.50323,2.38639,1.01482,0.98277,1,0.995,0.63056,1.51093,6.0808,1.04031,0.000326536,0.000326536,0.000326536
10,7.32672,1.39778,2.49517,1.00756,0.9851,1,0.995,0.61381,1.57307,5.2668,1.00852,0.000363071,0.000363071,0.000363071
11,8.04724,1.4018,1.89244,0.9967,0.98315,1,0.995,0.597,1.59627,5.18115,1.0634,0.00039921,0.00039921,0.00039921
12,8.81078,1.27224,1.63519,0.99146,0.9811,1,0.995,0.675,1.34567,5.49308,1.07799,0.000434953,0.000434953,0.000434953
13,9.717,1.27904,1.76317,0.93031,0.55333,0.66667,0.64133,0.44599,1.1665,6.158,0.99796,0.0004703,0.0004703,0.0004703
14,10.5541,1.31108,1.51379,0.9667,0.2469,1,0.27136,0.18298,1.17353,5.9978,1.05837,0.000505251,0.000505251,0.000505251
15,11.3682,1.16027,1.22269,0.93237,0.1628,0.33333,0.16583,0.11086,1.51805,5.25806,1.22078,0.000539806,0.000539806,0.000539806
16,12.1616,1.25615,1.13135,0.93253,0.06328,1,0.07855,0.04848,1.73426,4.61768,1.27468,0.000573965,0.000573965,0.000573965
17,12.9455,1.21284,1.20018,0.95502,0.04402,1,0.09045,0.05291,1.8194,4.1567,1.28383,0.000607728,0.000607728,0.000607728
18,13.7246,1.15942,1.37077,0.96616,0.005,1,0.06092,0.03729,1.80272,5.6684,1.41522,0.000641095,0.000641095,0.000641095
19,14.5095,1.16023,1.07578,0.9127,0.06026,0.66667,0.07107,0.04194,1.82116,5.46678,1.32823,0.000674066,0.000674066,0.000674066
